八佰,剧情战争历史,2020-08-21 09:00中国大陆上映
哈利·波特与魔法石,奇幻冒险,2020-08-14中国大陆重映
妙先生,动画奇幻冒险,2020-07-31中国大陆上映
误杀,剧情犯罪,2019-12-13中国大陆上映
1917,剧情战争历史,2020-08-07中国大陆上映
星际穿越,剧情科幻冒险,2020-08-02中国大陆重映
命运之夜——天之杯3：春之歌,剧情动画奇幻,2020-08-15日本上映
釜山行2：半岛,动作惊悚,2020-07-15韩国上映
抵达之谜,剧情爱情青春,2020-07-31中国大陆上映
唐人街探案2,喜剧动作悬疑,2018-02-16中国大陆上映
